model,variable,scenario,available
BCC_BCC-CSM2-MR_r1i1p1f1,clt,ssp126,1
BCC_BCC-CSM2-MR_r1i1p1f1,clt,ssp245,1
BCC_BCC-CSM2-MR_r1i1p1f1,clt,ssp370,1
BCC_BCC-CSM2-MR_r1i1p1f1,clt,ssp585,1
BCC_BCC-CSM2-MR_r1i1p1f1,rsds,historical,1
BCC_BCC-CSM2-MR_r1i1p1f1,rsds,ssp119,0
BCC_BCC-CSM2-MR_r1i1p1f1,rsds,ssp126,1
BCC_BCC-CSM2-MR_r1i1p1f1,rsds,ssp245,1
BCC_BCC-CSM2-MR_r1i1p1f1,rsds,ssp370,1
BCC_BCC-CSM2-MR_r1i1p1f1,rsds,ssp585,1
BCC_BCC-CSM2-MR_r1i1p1f1,rlds,historical,1
BCC_BCC-CSM2-MR_r1i1p1f1,rlds,ssp119,0
BCC_BCC-CSM2-MR_r1i1p1f1,rlds,ssp126,1
BCC_BCC-CSM2-MR_r1i1p1f1,rlds,ssp245,1
BCC_BCC-CSM2-MR_r1i1p1f1,rlds,ssp370,1
BCC_BCC-CSM2-MR_r1i1p1f1,rlds,ssp585,1
BCC_BCC-CSM2-MR_r1i1p1f1,sst,historical,0
BCC_BCC-CSM2-MR_r1i1p1f1,sst,ssp119,0
BCC_BCC-CSM2-MR_r1i1p1f1,sst,ssp126,0
BCC_BCC-CSM2-MR_r1i1p1f1,sst,ssp245,0
BCC_BCC-CSM2-MR_r1i1p1f1,sst,ssp370,0
BCC_BCC-CSM2-MR_r1i1p1f1,sst,ssp585,0
BCC_BCC-CSM2-MR_r1i1p1f1,psl,historical,1
BCC_BCC-CSM2-MR_r1i1p1f1,psl,ssp119,0
BCC_BCC-CSM2-MR_r1i1p1f1,psl,ssp126,1
BCC_BCC-CSM2-MR_r1i1p1f1,psl,ssp245,1
BCC_BCC-CSM2-MR_r1i1p1f1,psl,ssp370,1
BCC_BCC-CSM2-MR_r1i1p1f1,psl,ssp585,1
CAMS_CAMS-CSM1-0_r1i1p1f1,t,historical,0
CAMS_CAMS-CSM1-0_r1i1p1f1,t,ssp119,0
CAMS_CAMS-CSM1-0_r1i1p1f1,t,ssp126,0
CAMS_CAMS-CSM1-0_r1i1p1f1,t,ssp245,0
CAMS_CAMS-CSM1-0_r1i1p1f1,t,ssp370,0
CAMS_CAMS-CSM1-0_r1i1p1f1,t,ssp585,0
CAMS_CAMS-CSM1-0_r1i1p1f1,tn,historical,0
CAMS_CAMS-CSM1-0_r1i1p1f1,tn,ssp119,0
CAMS_CAMS-CSM1-0_r1i1p1f1,tn,ssp126,0
CAMS_CAMS-CSM1-0_r1i1p1f1,tn,ssp245,0
CAMS_CAMS-CSM1-0_r1i1p1f1,tn,ssp370,0
CAMS_CAMS-CSM1-0_r1i1p1f1,tn,ssp585,0
CAMS_CAMS-CSM1-0_r1i1p1f1,tx,historical,0
